Tag,Level,Earned On,Deleted
PERFECT_WEEK,8779,2025-01-19T23:07:54-0800,false
PERFECT_WEEK,7589,2021-10-17T00:00:01-0800,false
FOOD_LOGGED,25,2016-08-21T00:00:01-0800,false
PERFECT_WEEK,6910,2019-12-08T00:00:01-0800,false
PERFECT_WEEK,5713,2016-08-28T00:00:01-0800,false
PERFECT_WEEK,5734,2016-09-18T00:00:01-0800,false
FOOD_LOGGED,200,2021-10-19T00:00:01-0800,false
PERFECT_WEEK,7225,2020-10-18T00:00:01-0800,false
PERFECT_WEEK,7134,2020-07-19T00:00:01-0800,false
WEIGHT_LOGGED,150,2021-10-04T00:00:01-0800,false
FOOD_LOGGED,1,2012-10-10T00:00:01-0800,false
PERFECT_WEEK,7596,2021-10-24T00:00:01-0800,false
PERFECT_WEEK,7834,2022-06-19T22:05:52-0800,false
PERFECT_WEEK,7974,2022-11-07T07:55:04-0800,false
PERFECT_WEEK,5706,2016-08-21T00:00:01-0800,false
FOOD_LOGGED,300,2024-01-19T23:59:59-0800,false
PERFECT_WEEK,8800,2025-02-10T07:16:52-0800,false
PERFECT_WEEK,8422,2024-01-28T22:52:13-0800,false
FOOD_LOGGED,400,2025-03-08T07:23:39-0800,false
WEIGHT_LOGGED,75,2020-01-19T00:00:01-0800,false
PERFECT_WEEK,7211,2020-10-04T00:00:01-0800,false
FOOD_LOGGED,10,2016-08-06T00:00:01-0800,false
PERFECT_WEEK,8793,2025-02-02T22:28:46-0800,false
PERFECT_WEEK,9108,2025-12-14T21:28:31-0800,false
PERFECT_WEEK,7582,2021-10-10T00:00:01-0800,false
PERFECT_WEEK,7568,2021-09-26T00:00:01-0800,false
PERFECT_WEEK,6945,2020-01-12T00:00:01-0800,false
FOOD_LOGGED,100,2020-01-11T00:00:01-0800,false
PERFECT_WEEK,7953,2022-10-16T23:17:38-0800,false
FOOD_LOGGED,50,2016-09-17T00:00:01-0800,false
PERFECT_WEEK,8471,2024-03-18T06:58:53-0800,false
FOOD_LOGGED,350,2024-03-21T21:59:59-0800,false
PERFECT_WEEK,8772,2025-01-12T21:37:21-0800,false
PERFECT_WEEK,8436,2024-02-11T23:43:16-0800,false
PERFECT_WEEK,8429,2024-02-04T23:12:44-0800,false
WEIGHT_LOGGED,100,2020-07-22T00:00:01-0800,false
WEIGHT_LOGGED,50,2019-09-03T00:00:01-0800,false
FOOD_LOGGED,75,2019-09-10T00:00:01-0800,false
FOOD_LOGGED,150,2020-10-11T00:00:01-0800,false
PERFECT_WEEK,7120,2020-07-05T00:00:01-0800,false
WEIGHT_LOGGED,300,2025-01-12T08:26:09-0800,false
FOOD_LOGGED,250,2022-10-21T07:52:50-0800,false
PERFECT_WEEK,8807,2025-02-16T22:35:51-0800,false
WEIGHT_LOGGED,5,2016-08-02T00:00:01-0800,false
WEIGHT_LOGGED,250,2023-04-13T17:26:44-0800,false
PERFECT_WEEK,8842,2025-03-23T21:34:23-0800,false
PERFECT_WEEK,7960,2022-10-23T22:33:15-0800,false
PERFECT_WEEK,7575,2021-10-03T00:00:01-0800,false
WEIGHT_LOGGED,25,2016-08-30T00:00:01-0800,false
PERFECT_WEEK,8457,2024-03-03T23:10:36-0800,false
PERFECT_WEEK,7841,2022-06-26T23:53:23-0800,false
PERFECT_WEEK,7127,2020-07-12T00:00:01-0800,false
PERFECT_WEEK,7967,2022-10-30T22:07:22-0800,false
FOOD_LOGGED,5,2016-08-01T00:00:01-0800,false
PERFECT_WEEK,7232,2020-10-25T00:00:01-0800,false
WEIGHT_LOGGED,200,2022-06-29T16:55:25-0800,false
PERFECT_WEEK,5699,2016-08-14T00:00:01-0800,false
WEIGHT_LOGGED,1,2012-10-10T00:00:01-0800,false
WEIGHT_LOGGED,350,2025-11-26T07:41:09-0800,false
PERFECT_WEEK,8142,2023-04-23T23:01:44-0800,false
PERFECT_WEEK,7218,2020-10-11T00:00:01-0800,false
WEIGHT_LOGGED,10,2016-08-07T00:00:01-0800,false
