Date,Value,Secondary Value,Last Updated
09/20/2021,13.9,-1.0,2021-09-20T00:00:01-0800
09/21/2021,12.7,-1.0,2021-09-21T07:14:01-0800
09/23/2021,12.5,-1.0,2021-09-23T16:21:01-0800
09/24/2021,11.5,-1.0,2021-09-24T07:24:01-0800
09/25/2021,10.9,-1.0,2021-09-25T10:15:01-0800
09/26/2021,10.3,-1.0,2021-09-26T10:37:01-0800
09/27/2021,13.1,-1.0,2021-09-27T07:09:01-0800
09/29/2021,13.4,-1.0,2021-09-29T07:33:01-0800
09/30/2021,13.2,-1.0,2021-09-30T15:21:01-0800
10/01/2021,11.8,-1.0,2021-10-01T07:25:01-0800
10/02/2021,10.6,-1.0,2021-10-02T09:09:01-0800
10/04/2021,11.4,-1.0,2021-10-04T16:10:01-0800
10/05/2021,12.0,-1.0,2021-10-05T17:18:01-0800
10/11/2021,11.8,-1.0,2021-10-11T10:43:01-0800
10/12/2021,12.9,-1.0,2021-10-12T17:13:01-0800
10/14/2021,11.7,-1.0,2021-10-14T11:01:01-0800
10/15/2021,12.0,-1.0,2021-10-15T16:09:01-0800
10/18/2021,11.7,-1.0,2021-10-18T09:07:01-0800
10/19/2021,11.8,-1.0,2021-10-19T09:26:01-0800
10/20/2021,12.3,-1.0,2021-10-20T11:06:01-0800
10/24/2021,9.7,-1.0,2021-10-24T18:13:01-0800
10/25/2021,9.8,-1.0,2021-10-25T09:03:01-0800
10/27/2021,12.3,-1.0,2021-10-27T16:38:01-0800
10/28/2021,11.4,-1.0,2021-10-28T16:15:01-0800
01/10/2022,11.4,-1.0,2022-01-10T12:14:01-0800
01/11/2022,11.1,-1.0,2022-01-11T18:05:01-0800
03/04/2022,11.4,-1.0,2022-03-04T17:14:01-0800
06/07/2022,11.2,-1.0,2022-06-07T08:13:01-0800
06/13/2022,11.7,-1.0,2022-06-13T07:34:01-0800
06/14/2022,12.5,-1.0,2022-06-14T17:07:56-0800
06/16/2022,12.3,-1.0,2022-06-16T07:40:01-0800
06/17/2022,12.9,-1.0,2022-06-17T17:42:01-0800
06/18/2022,10.7,-1.0,2022-06-18T09:34:01-0800
06/19/2022,11.2,-1.0,2022-06-19T09:18:01-0800
06/20/2022,11.0,-1.0,2022-06-20T17:23:01-0800
06/21/2022,10.6,-1.0,2022-06-21T07:15:01-0800
06/22/2022,10.4,-1.0,2022-06-22T07:27:01-0800
06/23/2022,11.1,-1.0,2022-06-23T17:31:49-0800
06/25/2022,10.6,-1.0,2022-06-25T09:12:01-0800
06/26/2022,9.7,-1.0,2022-06-26T08:24:01-0800
06/27/2022,10.0,-1.0,2022-06-27T17:18:11-0800
06/28/2022,11.1,-1.0,2022-06-28T17:25:01-0800
06/29/2022,9.3,-1.0,2022-06-29T16:55:01-0800
06/30/2022,9.5,-1.0,2022-06-30T07:13:01-0800
07/01/2022,10.0,-1.0,2022-07-01T08:27:01-0800
07/03/2022,9.2,-1.0,2022-07-03T08:42:01-0800
07/04/2022,9.9,-1.0,2022-07-04T08:12:01-0800
07/10/2022,10.7,-1.0,2022-07-10T09:26:01-0800
08/30/2022,11.3,-1.0,2022-08-30T07:02:01-0800
09/01/2022,11.5,-1.0,2022-09-01T07:15:01-0800
09/05/2022,11.9,-1.0,2022-09-05T08:56:01-0800
09/06/2022,13.0,-1.0,2022-09-06T17:44:01-0800
09/07/2022,12.7,-1.0,2022-09-07T17:54:57-0800
03/14/2023,20.4,-1.0,2023-03-14T17:29:01-0800
03/15/2023,21.3,-1.0,2023-03-15T16:49:01-0800
03/16/2023,22.3,-1.0,2023-03-16T16:48:01-0800
03/17/2023,22.6,-1.0,2023-03-17T15:34:01-0800
04/13/2023,20.9,-1.0,2023-04-13T17:28:01-0800
11/27/2023,21.6,-1.0,2023-11-27T08:04:01-0800
11/28/2023,22.2,-1.0,2023-11-28T17:56:01-0800
11/29/2023,22.2,-1.0,2023-11-29T17:20:01-0800
11/30/2023,20.9,-1.0,2023-11-30T18:10:01-0800
02/13/2024,17.8,-1.0,2024-02-13T18:24:45-0800
01/02/2025,20.7,-1.0,2025-01-02T07:29:01-0800
01/03/2025,22.4,-1.0,2025-01-03T06:35:01-0800
01/23/2025,18.6,-1.0,2025-01-23T07:45:01-0800
04/02/2025,16.9,-1.0,2025-04-02T07:23:01-0800
