Date,Food cals,Exercise cals,Budget cals,EER
10/10/2012,2026.61,319.324,1585.13,2585.13
10/11/2012,1711.0,0.0,1835.13,2585.13
10/12/2012,1051.03,0.0,1835.13,2585.13
11/14/2012,311.614,0.0,1835.13,2585.13
07/24/2016,0.0,133.0,1835.13,2585.13
07/25/2016,0.0,79.0,1835.13,2585.13
07/26/2016,0.0,172.0,1835.13,2585.13
07/27/2016,0.0,122.0,1835.13,2585.13
07/28/2016,0.0,220.0,1835.13,2585.13
07/29/2016,0.0,0.0,1835.13,2585.13
07/30/2016,0.0,333.0,1835.13,2585.13
07/31/2016,0.0,14.0,2010.6,2510.6
08/01/2016,1860.0,182.0,2010.6,2510.6
08/02/2016,1315.0,16.0,1727.75,2477.75
08/03/2016,1788.0,113.0,1729.06,2479.06
08/04/2016,2067.52,340.0,1735.63,2485.63
08/05/2016,1748.0,59.0,1740.89,2490.89
08/06/2016,1736.23,81.0,1722.49,2472.49
08/07/2016,1617.0,0.0,1725.12,2475.12
08/08/2016,1751.0,100.0,1721.18,2471.18
08/09/2016,1910.0,257.0,1721.18,2471.18
08/10/2016,1819.61,250.0,1713.29,2463.29
08/11/2016,1943.48,229.0,1714.6,2464.6
08/12/2016,1874.0,307.0,1714.6,2464.6
08/13/2016,2254.0,182.0,1714.6,2464.6
08/14/2016,2237.4,197.0,1723.8,2473.8
08/15/2016,1879.0,192.0,1709.35,2459.35
08/16/2016,1835.0,148.0,1708.03,2458.03
08/17/2016,1860.0,181.0,1708.03,2458.03
08/18/2016,1822.55,112.0,1710.66,2460.66
08/19/2016,1754.0,179.0,1710.66,2460.66
08/20/2016,2063.64,80.0,1709.35,2459.35
08/21/2016,2120.0,0.0,1709.35,2459.35
08/22/2016,2590.0,586.0,1709.35,2459.35
08/23/2016,3140.0,420.0,1709.35,2459.35
08/24/2016,1850.0,116.0,1708.03,2458.03
08/25/2016,1995.0,209.0,1702.78,2452.78
08/26/2016,1860.0,59.0,1702.78,2452.78
08/27/2016,1790.0,70.0,1708.03,2458.03
08/28/2016,1743.12,0.0,1700.15,2450.15
08/29/2016,1812.64,197.0,1696.21,2446.21
08/30/2016,1865.84,156.0,1696.21,2446.21
08/31/2016,2250.0,135.0,1689.64,2439.64
09/01/2016,2520.0,242.0,1689.64,2439.64
09/02/2016,2535.0,181.0,1689.64,2439.64
09/03/2016,1220.0,191.0,1689.64,2439.64
09/04/2016,0.0,234.0,1689.64,2439.64
09/05/2016,0.0,120.0,1689.64,2439.64
09/06/2016,1510.0,13.0,1694.89,2444.89
09/07/2016,1715.0,117.0,1688.32,2438.32
09/08/2016,1694.0,53.0,1688.32,2438.32
09/09/2016,1992.0,154.0,1683.07,2433.07
09/10/2016,1840.0,18.0,1681.75,2431.75
09/11/2016,1950.0,160.0,1688.32,2438.32
09/12/2016,1709.0,113.0,1675.18,2425.18
09/13/2016,1898.0,55.0,1672.55,2422.55
09/14/2016,1712.0,73.0,1673.87,2423.87
09/15/2016,1900.0,269.0,1679.12,2429.12
09/16/2016,2570.0,95.0,1673.87,2423.87
09/17/2016,1732.06,100.0,1673.87,2423.87
09/18/2016,1962.5,121.0,1684.38,2434.38
09/19/2016,1714.0,102.0,1665.98,2415.98
09/20/2016,1890.0,197.0,1668.61,2418.61
09/21/2016,1725.0,95.0,1667.3,2417.3
09/22/2016,2090.0,228.0,1673.87,2423.87
09/23/2016,1095.0,78.0,1673.87,2423.87
09/25/2016,1601.0,77.0,1669.93,2419.93
09/24/2016,0.0,50.0,1673.87,2423.87
09/26/2016,2067.0,141.0,1681.75,2431.75
10/03/2016,1830.0,72.0,2409.41,2409.41
10/02/2016,0.0,82.0,1659.41,2409.41
10/04/2016,0.0,96.0,2409.41,2409.41
09/27/2016,1610.0,70.0,1664.67,2414.67
09/28/2016,1597.0,12.0,1664.67,2414.67
09/29/2016,1500.0,144.0,1664.67,2414.67
09/30/2016,960.0,49.0,1659.41,2409.41
10/01/2016,0.0,0.0,1659.41,2409.41
07/14/2019,0.0,0.0,1888.01,2388.01
07/16/2019,1909.0,186.318,1936.63,2436.63
07/15/2019,2000.0,129.387,1936.63,2436.63
07/17/2019,2160.0,212.195,1936.63,2436.63
07/19/2019,0.0,0.0,1936.63,2436.63
07/18/2019,2386.0,137.15,1936.63,2436.63
08/15/2019,0.0,131.975,1936.63,2436.63
08/16/2019,0.0,0.0,1939.26,2439.26
09/01/2019,0.0,197.151,1939.26,2439.26
09/02/2019,0.0,41.5055,1939.26,2439.26
09/03/2019,1695.0,94.9242,1927.43,2427.43
09/04/2019,2015.0,66.7035,1927.43,2427.43
09/06/2019,1910.0,184.031,1923.49,2423.49
09/05/2019,1950.0,76.9656,1927.43,2427.43
09/07/2019,1585.0,0.0,1923.49,2423.49
09/10/2019,2050.0,69.0118,1923.49,2423.49
09/08/2019,1300.0,0.0,1918.23,2418.23
09/09/2019,1607.0,92.0157,1916.92,2416.92
09/11/2019,800.0,0.0,1916.92,2416.92
11/30/2019,0.0,17.7808,1916.92,2416.92
12/01/2019,2028.0,115.956,1706.34,2456.34
12/02/2019,1721.0,121.227,1706.34,2456.34
12/03/2019,2015.0,102.779,1706.34,2456.34
12/04/2019,1803.0,169.534,1678.75,2428.75
12/05/2019,2037.0,128.435,1678.75,2428.75
12/06/2019,1791.0,118.16,1678.75,2428.75
12/07/2019,1685.0,25.6869,1678.75,2428.75
12/08/2019,1704.0,0.0,1674.8,2424.8
12/09/2019,1755.0,99.3122,1669.55,2419.55
12/10/2019,2092.0,0.0,1669.55,2419.55
12/11/2019,2001.0,97.1277,1673.49,2423.49
12/12/2019,998.0,38.3399,1673.49,2423.49
12/13/2019,0.0,61.3438,1673.49,2423.49
12/14/2019,1654.0,0.0,1681.38,2431.38
12/15/2019,1575.0,51.2468,1676.12,2426.12
12/16/2019,1910.0,109.361,1668.23,2418.23
12/17/2019,2060.0,90.0725,1651.15,2401.15
12/18/2019,920.0,112.591,1651.15,2401.15
12/19/2019,0.0,0.0,1651.15,2401.15
12/20/2019,0.0,0.0,1680.06,2430.06
12/26/2019,0.0,0.0,1684.66,2434.66
12/25/2019,0.0,0.0,1680.06,2430.06
01/04/2020,0.0,0.0,1684.66,2434.66
01/05/2020,1973.0,160.145,1680.06,2430.06
01/06/2020,1725.0,28.2905,1678.75,2428.75
01/07/2020,1735.0,123.999,1662.98,2412.98
01/08/2020,1949.0,127.006,1666.92,2416.92
01/09/2020,2001.0,60.9628,1666.92,2416.92
01/10/2020,2025.0,0.0,1666.92,2416.92
01/11/2020,2175.0,10.2621,1677.43,2427.43
01/12/2020,2076.0,0.0,1677.43,2427.43
01/13/2020,2076.0,118.014,1677.43,2427.43
01/16/2020,0.0,205.241,1677.43,2427.43
01/17/2020,2073.0,101.478,1665.61,2415.61
01/18/2020,2258.0,0.0,1661.66,2411.66
01/19/2020,1950.0,0.0,1668.23,2418.23
01/20/2020,1984.0,0.0,1660.35,2410.35
01/21/2020,1979.0,133.785,1660.35,2410.35
02/04/2020,0.0,0.0,1660.35,2410.35
02/05/2020,0.0,5.04848,1660.35,2410.35
02/19/2020,0.0,0.0,1660.35,2410.35
02/20/2020,0.0,217.085,1660.35,2410.35
06/03/2020,0.0,125.928,1653.22,2403.22
06/04/2020,0.0,224.536,1653.22,2403.22
06/05/2020,0.0,282.986,1653.22,2403.22
06/08/2020,0.0,118.5,1653.22,2403.22
06/09/2020,0.0,107.753,1653.22,2403.22
06/18/2020,0.0,141.022,1653.22,2403.22
06/22/2020,0.0,92.9973,1653.22,2403.22
06/23/2020,0.0,117.097,1653.22,2403.22
06/24/2020,0.0,195.24,1653.22,2403.22
06/26/2020,1951.0,141.271,1947.9,2447.9
06/27/2020,1956.0,41.9119,1947.9,2447.9
06/28/2020,2303.0,0.0,1942.64,2442.64
