Date,Name,Value
08/01/2016,Complete,1
08/02/2016,Complete,1
08/03/2016,Complete,1
08/04/2016,Complete,1
08/05/2016,Complete,1
08/06/2016,Complete,1
08/08/2016,Complete,1
08/09/2016,Complete,1
08/10/2016,Complete,1
08/11/2016,Complete,1
08/12/2016,Complete,1
08/13/2016,Complete,1
08/14/2016,Complete,1
08/15/2016,Complete,1
08/16/2016,Complete,1
08/17/2016,Complete,1
08/18/2016,Complete,1
08/19/2016,Complete,1
08/20/2016,Complete,1
08/21/2016,Complete,1
08/22/2016,Complete,1
08/23/2016,Complete,1
08/24/2016,Complete,1
08/25/2016,Complete,1
08/26/2016,Complete,1
08/27/2016,Complete,1
08/28/2016,Complete,1
08/29/2016,Complete,1
08/30/2016,Complete,1
08/31/2016,Complete,1
09/02/2016,Complete,1
09/06/2016,Complete,1
09/07/2016,Complete,1
09/08/2016,Complete,1
09/09/2016,Complete,1
09/10/2016,Complete,1
09/11/2016,Complete,1
09/12/2016,Complete,1
09/13/2016,Complete,1
09/14/2016,Complete,1
09/15/2016,Complete,1
09/16/2016,Complete,1
09/17/2016,Complete,1
09/18/2016,Complete,1
09/19/2016,Complete,1
09/20/2016,Complete,1
09/21/2016,Complete,1
09/22/2016,Complete,1
09/25/2016,Complete,1
09/26/2016,Complete,1
09/27/2016,Complete,1
09/28/2016,Complete,1
07/15/2019,Complete,1
07/16/2019,Complete,1
07/17/2019,Complete,1
07/18/2019,Complete,1
09/03/2019,Complete,1
09/04/2019,Complete,1
09/05/2019,Complete,1
09/06/2019,Complete,1
09/07/2019,Complete,1
09/08/2019,Complete,1
09/09/2019,Complete,1
09/10/2019,Complete,1
12/01/2019,Complete,1
12/02/2019,Complete,1
12/03/2019,Complete,1
12/04/2019,Complete,1
12/05/2019,Complete,1
12/06/2019,Complete,1
12/07/2019,Complete,1
12/08/2019,Complete,1
12/09/2019,Complete,1
12/10/2019,Complete,1
12/11/2019,Complete,1
12/14/2019,Complete,1
12/15/2019,Complete,1
12/16/2019,Complete,1
12/17/2019,Complete,1
01/05/2020,Complete,1
01/06/2020,Complete,1
01/07/2020,Complete,1
01/08/2020,Complete,1
01/09/2020,Complete,1
01/10/2020,Complete,1
01/11/2020,Complete,1
01/12/2020,Complete,1
01/17/2020,Complete,1
01/18/2020,Complete,1
01/19/2020,Complete,1
01/20/2020,Complete,1
