Date,Name,Icon,Type,Quantity,Units,Calories,Deleted
10/10/2012,Running,Running,Exercise,20,minutes,-248.677,0
10/10/2012,Weight Lifting,WeightTraining,Exercise,10,minutes,-70.647,0
07/31/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-14.0,0
07/30/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-333.0,0
07/29/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-0.0,0
07/28/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-220.0,0
07/27/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-122.0,0
07/26/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-172.0,0
07/25/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-79.0,0
07/24/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-133.0,0
08/01/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-182.0,0
08/02/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-16.0,0
08/03/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-113.0,0
08/04/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-340.0,0
08/05/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-59.0,0
08/06/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-81.0,0
08/07/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-0.0,0
08/08/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-100.0,0
08/09/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-257.0,0
08/10/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-250.0,0
08/11/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-229.0,0
08/12/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-307.0,0
08/13/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-182.0,0
08/14/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-197.0,0
08/15/2016,Microsoft Health Bonus,MicrosoftHealth,Exercise,0,minutes,-192.0,0
