Date,Name,Icon,Meal,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
10/10/2012,"Bar, Granola, Peanut Butter",CerealBar,Breakfast,2.0,Pieces,190,0,7,5,28,1,11,2,0,180
10/10/2012,"Drink, Nutritional, Essentials Complete, Rich Milk Chocolate",MilkShake,Breakfast,1.25,Ounces,126,0,0.97,4.86,26.25,0,19.44,0,0,77.78
10/10/2012,"Milk, Vit A & D, Fat Free",Milk,Breakfast,8.0,Fluid ounces,90,0,0,9.2,13.3,0,12.3,0,0,130.32
10/10/2012,Steamed Brown Rice,Rice,Lunch,1.0,Serving,130,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/10/2012,Spicy Chicken with Basil,Chicken,Lunch,1.0,Serving,310,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/10/2012,Ruger chocolate Wafers,Chocolate,Evening Snacks,2.0,Servings,160,0,8,2,20,7,13,1,5,30
10/10/2012,Cookies And Creme,MilkShake,Evening Snacks,1.0,Serving,220,0,9,25,9,1.50,3,1,10,360
10/10/2012,Salmon Bowl,Default,Dinner,1.0,Serving,800,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/11/2012,"Drink, Nutritional, Essentials Complete, Rich Milk Chocolate",MilkShake,Breakfast,1.25,Ounces,126,0,0.97,4.86,26.25,0,19.44,0,0,77.78
10/11/2012,"Milk, Vit A & D, Fat Free",Milk,Breakfast,8.0,Fluid ounces,90,0,0,9.2,13.3,0,12.3,0,0,130.32
10/11/2012,Spicy Chicken Breast Sandwich,Sandwich,Lunch,1.0,Serving,350,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/11/2012,PopChips Cheddar,PotatoChip,Lunch,1.0,Serving,100,0,3.50,1,16,0.50,1,1,0,240
10/11/2012,"Soda, Pepsi, Diet",CocaCola,Lunch,1.0,Can,0,0,0,0,0,0,0,0,0,25
10/11/2012,"Apple, Medium",Apple,Evening Snacks,1.0,Each,95,0,0.31,0.47,25.13,0.4,18.91,4.37,0,1.82
10/11/2012,Spicy Lemongrass Chicken,Chicken,Dinner,1.0,Serving,750,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/11/2012,"Bread, Whole Wheat",Toast,Evening Snacks,1.0,Slice,100,0,1.50,5,23,0,4,7,0,170
10/11/2012,"Peanut Butter, Natural, Chunky",PeanutButter,Evening Snacks,1.0,Tablespoon,100,0,8,3.50,3,1.25,0.50,1,0,45
10/12/2012,"Drink, Nutritional, Essentials Complete, Rich Milk Chocolate",MilkShake,Breakfast,1.25,Ounces,126,0,0.97,4.86,26.25,0,19.44,0,0,77.78
10/12/2012,"Milk, Vit A & D, Fat Free",Milk,Breakfast,8.0,Fluid ounces,90,0,0,9.2,13.3,0,12.3,0,0,130.32
10/12/2012,Chicken Enchilada,Enchilada,Lunch,1.0,Serving,600,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/12/2012,"Beans, Black, Cooked, No Salt",BeanBlack,Lunch,0.5,Cup,114,0,0.46,7.62,20.39,0.11,0,7.48,0,0.86
10/12/2012,"Rice, White, Medium Grain, Cooked",Rice,Lunch,0.5,Cup,121,0,0.20,2.21,26.59,0.5,0,0.28,0,0
11/14/2012,"Bar, Granola, Peanut Butter",CerealBar,Breakfast,1.0,Piece,95,0,3.50,2.50,14,0.50,5.50,1,0,90
11/14/2012,"Drink, Nutritional, Essentials Complete, Rich Milk Chocolate",MilkShake,Breakfast,1.25,Ounces,126,0,0.97,4.86,26.25,0,19.44,0,0,77.78
11/14/2012,"Milk, Vit A & D, Fat Free",Milk,Breakfast,8.0,Fluid ounces,90,0,0,9.2,13.3,0,12.3,0,0,130.32
08/01/2016,Bagel With Cream Cheese,Bagel,Breakfast,1.0,Serving,290,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/01/2016,French Toast Egg Sandwich,Sandwich,Lunch,1.0,Serving,740,0,34,31,79,15,21,2,385,1230
08/01/2016,"Soda, Coke, Diet",CocaCola,Lunch,20.0,Fluid ounces,0,0,0,0,0,0,0,0,0,66.67
08/01/2016,"Coffee, w/ Cream, No Sugar",Coffee,Evening Snacks,20.0,Fluid ounces,55,0,4.50,1.75,1.50,2.75,0,0,14,27.25
08/01/2016,Calories,Calories,Dinner,54.0,Each,540,0,0,0,0,0,0,0,0,0
08/01/2016,Calories,Calories,Evening Snacks,8.0,Each,80,0,0,0,0,0,0,0,0,0
08/01/2016,Calories,Calories,Evening Snacks,12.0,Each,120,0,0,0,0,0,0,0,0,0
08/01/2016,Firecracker Jr,Popsicle,Evening Snacks,1.0,Serving,35,0,0,0,10,0,7,0,0,0
08/02/2016,This Apple Walks Into A Bar,Bar,Breakfast,1.0,Serving,140,0,2.50,2,27,0,17,n/a,0,90
08/02/2016,Calories,Calories,Lunch,34.0,Each,340,0,0,0,0,0,0,0,0,0
08/02/2016,Cheddar Rocket Crackers,Cracker,Evening Snacks,1.0,Serving,140,0,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/02/2016,Calories,Calories,Evening Snacks,15.0,Each,150,0,0,0,0,0,0,0,0,0
08/02/2016,Calories,Calories,Evening Snacks,15.0,Each,150,1,0,0,0,0,0,0,0,0
08/02/2016,Calories,Calories,Dinner,44.5,Each,445,0,0,0,0,0,0,0,0,0
08/02/2016,Popcorn Microwave 94% Fat Free,Corn,Evening Snacks,0.5,Each,65,0,0.75,1.50,13,0.25,0,2,0,150
08/02/2016,Calories,Calories,Evening Snacks,3.5,Each,35,0,0,0,0,0,0,0,0,0
08/03/2016,Calories,Calories,Evening Snacks,16.0,Each,160,1,0,0,0,0,0,0,0,0
08/03/2016,"Taco, chicken, soft",Taco,Lunch,3.0,Each,780,0,27,57,81,10.50,3,9,135,1290
08/03/2016,Calories,Calories,Breakfast,16.0,Each,160,0,0,0,0,0,0,0,0,0
08/03/2016,Cheddar Rocket Crackers,Cracker,Evening Snacks,1.0,Serving,140,0,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/03/2016,Calories,Calories,Dinner,34.5,Each,345,0,0,0,0,0,0,0,0,0
08/03/2016,Firecracker Jr,Popsicle,Evening Snacks,1.0,Serving,35,0,0,0,10,0,7,0,0,0
08/03/2016,Corona Light,Beer,Evening Snacks,1.0,Bottle,98,0,0,0.80,5,0,n/a,n/a,n/a,n/a
08/03/2016,Calories,Calories,Evening Snacks,23.0,Each,230,0,0,0,0,0,0,0,0,0
08/04/2016,Calories,Calories,Breakfast,26.0,Each,260,0,0,0,0,0,0,0,0,0
08/04/2016,"Taco, chicken, soft",Taco,Lunch,3.0,Each,780,0,27,57,81,10.50,3,9,135,1290
08/04/2016,Toast & Peanut Butter Crackers,Cracker,Evening Snacks,1.0,Package,190,0,9,4,23,1.50,5,1,0,300
08/04/2016,Calories,Calories,Evening Snacks,4.0,Each,40,0,0,0,0,0,0,0,0,0
08/04/2016,Calories,Calories,Dinner,54.0,Each,540,0,0,0,0,0,0,0,0,0
08/04/2016,Calories,Calories,Dinner,8.0,Each,80,0,0,0,0,0,0,0,0,0
08/04/2016,Corona Light,Beer,Evening Snacks,1.0,Bottle,98,0,0,0.80,5,0,n/a,n/a,n/a,n/a
08/04/2016,"Strawberry, Raw",Strawberry,Evening Snacks,1.0,Dry Cup,40,0,0,1.52,6.8,0,6.8,0,0,4.56
