Name,UniqueId,Quantity,Measure,Author,Image Name,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
Manhattan,1258e4ead0d6436fbcb80d6bfe406ef4,1.0,Serving,,Recipe,0,0,4,0,0,0,0,0
Michigan Sauce,9b6c4202f4da419f96c56e5e295720c3,1.0,Pot,,Recipe,18.83,88,20,8.92,10,4,240,1260
Old Fashioned,162fe4184f264a1cb6ff2ab0fb05be3b,1.0,Serving,,Recipe,0,0,2.10,0,2.10,0,0,0.2
Negroni,ed4d89bf65264497a39d79351209e9c0,1.0,Serving,,Recipe,0,0,18,0,0,0,0,0.42
Cosmopolitan,4dd2c06ed097461b8144cf5a7df9f4f2,1.0,Serving,,Recipe,0.2,0.73,17.93,0,2.28,0.9,0,0.87
Spaghetti & Meatballs,f74ff904922e488fb95fb4ba4bd68201,1.0,Serving,,Recipe,13.45,32.67,65.5,4,14.91,9.91,60,1340
Mustard-Glazed Drumstick,36920770bd724d21bbdd0e3ab1ba59f2,6.0,Serving,,Recipe,45,193.60,64.38,13.50,0.68,0.80,990,4703.83
Pepperoni Pizza,68c9aeb976b34a9cba505c7bdc4bcc57,8.0,Serving,,Recipe,49.39,62.43,233.74,14.49,4,11.13,69.73,1608.32
Pepperoni Pizza,47d7e9c9f95548fca9589a2665d4a26a,8.0,Serving,,Recipe,56.39,62.43,233.74,15.24,4,11.13,69.73,1608.32
Pepperoni Pizza,19566bdd3f2544efa94152c824da73e3,8.0,Serving,,Recipe,42.30,64.43,233.94,13.27,4,11.13,57.30,1429.79
Diet Lemon Moscow Mule,8b5e068821b94ae1bf51788bdabd484a,1.0,Serving,,Recipe,0,0,9.93,0,9.46,0,0,15
Popcorn,1a898f747a5c46a4ab82b5094355335e,1.0,Serving,,Recipe,8.75,3.70,27.13,6.41,0,4.93,0,0
Chambord Royale,6430254aa45a49f5bb5fb03d59afe15a,1.0,Serving,,Recipe,0,0,2.67,0,0.67,0,0,6.68
Chambord Royale,36c7163773984bf49c47c7b34e03f655,1.0,Serving,,Recipe,0,0,2.70,0,0.70,0,0,6.70
Belgian Liege Sugar Waffle,5c971976e3924886a6843162634773f7,13.0,Serving,,Recipe,157.54,64.21,592.43,36.92,267.31,1.91,370,1905.32
Last Word,683b3e61925f47b689bed8cf39d5a990,1.0,Serving,,Recipe,3,0,9.62,0,17.94,0,0,0
Last Word,3019a0621fb84bc897595672f5b148a0,1.0,Serving,,Recipe,3,0,12.62,0,20.94,0,0,0
Last Word,764c57d3274e4e37ba760e1e060ceea4,1.0,Serving,,Recipe,3,0,12.62,0,20.86,0,0,0
Bramble,ced4b02fbb5c490dadedbdfb99c27439,1.0,Serving,,Recipe,0.15,0.42,7.63,0,6.21,1.59,0,1.55
Pepperoni Pizza,fbfbc75700694b75aeb36cf460b3cc80,1.0,Serving,,Recipe,36.6,45.67,127.78,14.92,4,7.3,93.33,1915.60
Pepperoni Pizza,1bf7082897d84a949bbc3b6113c8716d,8.0,Serving,,Recipe,36.6,45.67,127.78,14.92,4,7.3,93.33,1915.60
Pepperoni Pizza,29c21845ed244f308b694e30dbe41e92,8.0,Serving,,Recipe,42.81,45.67,127.78,15.85,4,7.3,93.33,1915.74
Banana Bread,a68d87a390e742a2bf7ca96e19ee18e5,8.0,Serving,,Recipe,30.64,54.31,399.99,4.99,160.82,21.4,370,143.98
Stew,7945eafa0d0d4cbc84ccabfa9f670d8e,4.0,Serving,,Recipe,118,155.64,94.5,83,11.76,17.64,390,537.57
