Date,Value,Secondary Value,Last Updated
07/31/2016,8010.0,-1.0,2016-07-31T20:35:49-0800
08/01/2016,14463.0,-1.0,2016-08-04T08:04:34-0800
08/02/2016,8078.0,-1.0,2016-08-04T08:04:34-0800
08/03/2016,11978.0,-1.0,2016-08-03T22:20:50-0800
08/04/2016,20678.0,-1.0,2016-08-04T22:14:04-0800
08/05/2016,9804.0,-1.0,2016-08-06T00:39:50-0800
08/06/2016,10750.0,-1.0,2016-08-07T00:10:19-0800
08/07/2016,4766.0,-1.0,2016-08-08T07:29:23-0800
08/08/2016,11376.0,-1.0,2016-08-08T23:38:43-0800
08/09/2016,17588.0,-1.0,2016-08-09T23:40:26-0800
08/10/2016,17462.0,-1.0,2016-08-10T21:48:07-0800
08/11/2016,16618.0,-1.0,2016-08-12T00:25:51-0800
08/12/2016,19724.0,-1.0,2016-08-13T08:52:34-0800
08/13/2016,14776.0,-1.0,2016-08-14T10:17:17-0800
08/14/2016,15240.0,-1.0,2016-08-15T07:44:48-0800
08/15/2016,15118.0,-1.0,2016-08-15T22:46:23-0800
08/16/2016,13372.0,-1.0,2016-08-16T23:21:38-0800
08/17/2016,14752.0,-1.0,2016-08-18T08:31:15-0800
08/18/2016,11954.0,-1.0,2016-08-18T22:01:27-0800
08/19/2016,14628.0,-1.0,2016-08-20T09:29:40-0800
08/20/2016,10750.0,-1.0,2016-08-21T11:34:13-0800
08/21/2016,6418.0,-1.0,2016-08-22T07:15:25-0800
08/22/2016,30822.0,-1.0,2016-08-23T07:10:24-0800
08/23/2016,24276.0,-1.0,2016-08-23T20:36:38-0800
08/24/2016,12118.0,-1.0,2016-08-24T22:50:29-0800
08/25/2016,15820.0,-1.0,2016-08-25T21:37:51-0800
08/26/2016,9852.0,-1.0,2016-08-26T20:19:24-0800
08/27/2016,10296.0,-1.0,2016-08-28T12:19:03-0800
08/28/2016,7254.0,-1.0,2016-08-29T15:50:08-0800
08/29/2016,15444.0,-1.0,2016-08-30T07:47:55-0800
08/30/2016,13848.0,-1.0,2016-08-30T23:17:30-0800
08/31/2016,13013.0,-1.0,2016-09-01T07:42:42-0800
09/01/2016,17304.0,-1.0,2016-09-02T12:04:47-0800
09/02/2016,14790.0,-1.0,2016-09-02T23:09:09-0800
09/03/2016,15296.0,-1.0,2016-09-06T08:04:25-0800
