Date,Weight,Last Updated,Deleted
10/10/2012,178.0,2012-10-10T15:31:35-0800,false
10/11/2012,178.0,2012-10-11T22:50:45-0800,false
11/14/2012,178.0,2012-11-14T09:09:22-0800,false
07/31/2016,171.0,2016-07-31T19:37:38-0800,false
08/02/2016,166.0,2016-08-02T18:16:26-0800,false
08/03/2016,166.2,2016-08-03T17:17:27-0800,false
08/04/2016,167.2,2016-08-04T17:35:15-0800,false
08/05/2016,168.0,2016-08-05T18:12:36-0800,false
08/06/2016,165.2,2016-08-06T19:10:17-0800,false
08/07/2016,165.6,2016-08-07T17:08:15-0800,false
08/08/2016,165.0,2016-08-08T17:38:42-0800,false
08/10/2016,163.8,2016-08-10T17:25:05-0800,false
08/11/2016,164.0,2016-08-11T17:28:30-0800,false
08/14/2016,165.4,2016-08-14T14:56:30-0800,false
08/15/2016,163.2,2016-08-15T17:00:25-0800,false
08/16/2016,163.0,2016-08-16T17:39:09-0800,false
08/18/2016,163.4,2016-08-18T18:47:32-0800,false
08/19/2016,162.4,2016-08-19T17:19:33-0800,false
08/20/2016,163.2,2016-08-20T17:44:57-0800,false
08/24/2016,163.0,2016-08-24T16:38:31-0800,false
08/25/2016,162.2,2016-08-25T16:38:33-0800,false
08/27/2016,163.0,2016-08-27T20:02:30-0800,false
08/28/2016,161.8,2016-08-28T14:51:46-0800,false
08/29/2016,161.2,2016-08-29T17:13:45-0800,false
08/30/2016,161.2,2016-08-30T17:08:44-0800,false
08/31/2016,160.2,2016-08-31T17:27:09-0800,false
09/06/2016,161.0,2016-09-06T17:28:54-0800,false
09/07/2016,160.0,2016-09-07T17:27:32-0800,false
09/09/2016,159.2,2016-09-09T17:20:22-0800,false
09/10/2016,159.0,2016-09-10T21:36:59-0800,false
09/11/2016,160.0,2016-09-11T17:30:03-0800,false
09/12/2016,158.0,2016-09-12T17:37:02-0800,false
09/13/2016,157.6,2016-09-13T17:33:38-0800,false
09/14/2016,157.8,2016-09-14T17:23:17-0800,false
09/15/2016,158.6,2016-09-15T17:10:06-0800,false
09/16/2016,157.8,2016-09-16T16:28:30-0800,false
09/18/2016,159.4,2016-09-18T17:20:04-0800,false
09/19/2016,156.6,2016-09-19T18:34:27-0800,false
09/20/2016,157.0,2016-09-20T16:31:29-0800,false
09/21/2016,156.8,2016-09-21T17:01:11-0800,false
09/22/2016,157.8,2016-09-22T16:45:27-0800,false
09/23/2016,157.2,2016-09-23T16:32:22-0800,false
09/26/2016,159.0,2016-09-26T19:11:47-0800,false
09/27/2016,156.4,2016-09-27T18:36:36-0800,false
09/28/2016,156.4,2016-09-28T16:46:42-0800,false
09/29/2016,156.4,2016-09-29T16:03:22-0800,false
09/30/2016,155.6,2016-09-30T16:30:23-0800,false
07/15/2019,163.0,2019-07-15T18:17:23-0800,false
08/16/2019,163.4,2019-08-16T16:51:36-0800,false
09/03/2019,161.6,2019-09-03T18:08:24-0800,false
09/04/2019,161.6,2019-09-04T16:49:53-0800,false
09/06/2019,161.0,2019-09-06T18:41:48-0800,false
09/08/2019,160.2,2019-09-11T11:50:51-0800,false
09/09/2019,160.0,2019-09-11T11:50:51-0800,false
09/11/2019,160.0,2019-09-11T07:51:37-0800,false
12/01/2019,166.0,2019-12-01T16:31:38-0800,false
12/04/2019,161.8,2019-12-04T17:54:33-0800,false
12/05/2019,161.8,2019-12-05T18:31:25-0800,false
12/08/2019,161.2,2019-12-08T22:04:32-0800,false
12/09/2019,160.4,2019-12-09T21:43:05-0800,false
12/11/2019,161.0,2019-12-11T17:42:32-0800,false
12/14/2019,162.2,2019-12-14T17:56:40-0800,false
12/15/2019,161.4,2019-12-15T20:40:04-0800,false
12/16/2019,160.2,2019-12-16T19:09:16-0800,false
12/17/2019,157.6,2019-12-17T19:21:12-0800,false
12/20/2019,162.0,2019-12-26T19:19:24-0800,false
12/26/2019,162.7,2019-12-26T19:19:24-0800,false
01/05/2020,162.0,2020-01-05T22:45:03-0800,false
01/06/2020,161.8,2020-01-07T09:06:02-0800,false
01/07/2020,159.4,2020-01-07T20:44:55-0800,false
01/08/2020,160.0,2020-01-08T19:00:48-0800,false
01/11/2020,161.6,2020-01-11T19:29:50-0800,false
01/17/2020,159.8,2020-01-17T17:58:41-0800,false
01/18/2020,159.2,2020-01-18T18:23:39-0800,false
01/19/2020,160.2,2020-01-19T21:20:14-0800,false
01/20/2020,159.0,2020-01-20T18:09:33-0800,false
06/25/2020,160.0,2021-12-31T14:14:11-0800,false
06/26/2020,165.8,2020-06-26T07:31:28-0800,false
06/27/2020,165.0,2020-06-27T09:54:02-0800,false
06/28/2020,164.0,2020-06-28T09:31:20-0800,false
06/29/2020,164.4,2020-06-29T07:54:22-0800,false
06/30/2020,163.8,2020-06-30T08:08:04-0800,false
07/01/2020,163.4,2020-07-01T08:09:56-0800,false
07/02/2020,163.0,2020-07-02T08:26:49-0800,false
07/04/2020,163.8,2020-07-04T11:18:35-0800,false
07/05/2020,163.2,2020-07-05T10:12:08-0800,false
07/06/2020,163.2,2020-07-06T09:00:06-0800,false
07/07/2020,161.6,2020-07-07T16:00:31-0800,false
07/08/2020,162.2,2020-07-08T17:17:34-0800,false
07/09/2020,163.4,2020-07-09T16:01:13-0800,false
07/10/2020,162.6,2020-07-10T08:07:26-0800,false
07/11/2020,163.0,2020-07-11T15:13:48-0800,false
07/13/2020,160.6,2020-07-13T17:17:36-0800,false
07/14/2020,160.4,2020-07-14T18:24:27-0800,false
07/15/2020,161.8,2020-07-15T16:04:49-0800,false
07/16/2020,162.0,2020-07-16T17:51:38-0800,false
